Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	53	45	1.37288	1.32185	0.0931089	0.440953	SNAPIN(2.15134); ARRB1(1.90797); BLOC1S1(1.73238); PUM1(1.47372); AP1S1(1.20808); SORT1(1.07981); IGF2R(1.07603); RAB5C(1.0579); FTL(0.995616); CPD(0.925081); AP3B1(0.906996); DNAJC6(0.583786); DTNBP1(0.480549); SH3GL2(0.298692); BLOC1S3(-1.13887); VAMP2(-1.19667); ARF1(-1.21163); NAPA(-1.34313); AP1M2(-1.35098); FTH1(-1.37819); NECAP1(-1.38563); AP4B1(-1.39431); VAMP8(-1.39663); CLTA(-1.39663); HIP1R(-1.40492); HSPA8(-1.40492); TGOLN2(-1.40893); PIK3C2A(-1.41056); TFRC(-1.41216); AP1G1(-1.41393); AP1M1(-1.41493); AP3S1(-1.41727); AP1B1(-1.42021); SNX2(-1.42616); DNM2(-1.4369); SNX5(-1.44307); TXNDC5(-1.45323); CLTC(-1.47642); SH3D19(-1.56137); GAK(-1.56646); AP4E1(-1.58177); PICALM(-1.78644); TPD52(-1.79708); TPD52L1(-1.82165); SNX9(-2.00254); 
REACTOME_ACTIVATED_TLR4_SIGNALLING	93	85	0.841537	1.31761	0.0938173	0.440953	CHUK(3.17987); AGER(2.37428); RPS6KA5(2.02731); MAPKAPK3(1.82754); NFKB2(1.52606); FOS(1.29267); S100A12(1.19045); S100B(1.16372); TBK1(1.15415); TMEM189-UBE2V1(1.12368); APP(1.10077); IRF7(1.06874); HMGB1(1.05796); RPS6KA2(1.00827); RELA(0.980934); TLR1(0.977726); MAP3K1(0.915015); RPS6KA1(0.726121); CDK1(0.678244); MAP2K4(0.641192); MAP2K6(0.344964); MAP3K7(0.341001); MAPK10(0.0635777); IRF3(-1.09373); MAPK3(-1.09373); MAPK11(-1.15185); MAPK7(-1.15185); SIGIRR(-1.15185); MYD88(-1.18207); MAP2K7(-1.19667); PELI3(-1.21163); UBA52(-1.22623); ECSIT(-1.22623); JUN(-1.24043); DUSP7(-1.29236); SAA1(-1.30391); CD14(-1.325); PPP2R1B(-1.33446); UBE2N(-1.33446); DUSP3(-1.33446); NFKBIA(-1.33446); NFKBIB(-1.35098); RPS27A(-1.35796); RIPK1(-1.36921); PPP2CB(-1.3739); TLR3(-1.38563); PPP2R5D(-1.38563); TICAM1(-1.38883); DUSP6(-1.39172); MAP2K3(-1.39431); PPP2CA(-1.3987); TAB1(-1.3987); MAP2K2(-1.3987); TRAF6(-1.40054); DUSP4(-1.40363); TLR2(-1.40608); ATF1(-1.40608); TICAM2(-1.40806); IKBKB(-1.40893); CREB1(-1.41056); NOD2(-1.41056); TIRAP(-1.41301); TLR6(-1.42616); TLR4(-1.43125); RIPK2(-1.4369); LY96(-1.4369); MAPKAPK2(-1.44307); PELI1(-1.44307); IRAK3(-1.46056); IRAK2(-1.46438); IRAK4(-1.47232); IKBKE(-1.51207); MAPK9(-1.51681); NOD1(-1.51681); TRAF3(-1.52161); MAPK14(-1.52646); MAP2K1(-1.55126); PPP2R1A(-1.55631); MAPK1(-1.57666); MEF2A(-1.59199); MAPK8(-1.60217); ATF2(-1.63224); MEF2C(-1.73611); TAB2(-1.83204); PELI2(-2.14921); 
BIOCARTA_CD40_PATHWAY	15	13	1.33312	1.27969	0.100327	0.463543	CHUK(3.17987); NFKB1(1.89483); RELA(0.980934); MAP3K1(0.915015); NFKBIA(-1.33446); TNFAIP3(-1.35098); DUSP1(-1.39431); TRAF6(-1.40054); MAP3K14(-1.40711); IKBKB(-1.40893); CD40(-1.434); TRAF3(-1.52161); IKBKAP(-1.96242); 
REACTOME_RECYCLING_PATHWAY_OF_L1	27	22	1.14184	1.28158	0.0999945	0.463543	RPS6KA5(2.02731); AP2M1(1.5894); NUMB(1.31235); RPS6KA2(1.00827); RPS6KA4(0.83733); RPS6KA1(0.726121); SH3GL2(0.298692); DPYSL2(-0.00653509); AP2S1(-1.16173); AP2A1(-1.35098); KIF4B(-1.39172); CLTA(-1.39663); DNM1(-1.40608); SRC(-1.41301); AP2A2(-1.41603); DNM2(-1.4369); CLTC(-1.47642); KIAA1598(-1.49368); RDX(-1.50738); MAPK1(-1.57666); EZR(-1.59199); AP2B1(-1.70329); 
BIOCARTA_ASBCELL_PATHWAY	12	11	2.50149	1.2701	0.102024	0.464839	HLA-DRA(2.54506); HLA-DRB1(2.50815); IL2(1.66625); FASLG(-1.36921); IL4(-1.40806); IL10(-1.41056); CD28(-1.41393); CD40(-1.434); CD4(-1.44634); CD80(-1.56137); FAS(-1.62233); 
BIOCARTA_41BB_PATHWAY	17	17	1.25282	1.27528	0.101105	0.464839	CHUK(3.17987); NFKB1(1.89483); IL2(1.66625); RELA(0.980934); MAP3K1(0.915015); JUN(-1.24043); TNFRSF9(-1.30391); NFKBIA(-1.33446); TRAF2(-1.38209); IL4(-1.40806); IKBKB(-1.40893); IFNG(-1.42863); MAP4K5(-1.47642); MAPK14(-1.52646); MAPK8(-1.60217); ATF2(-1.63224); MAP3K5(-1.90516); 
REACTOME_MUSCLE_CONTRACTION	48	46	0.942001	1.27497	0.10116	0.464839	MYL3(1.91076); MYH3(1.76862); NEB(1.40177); SORBS3(1.37027); TNNI1(1.23021); TNNC1(1.15649); TPM2(1.13725); TLN1(1.13116); ITGA1(0.898362); TNNT2(0.855139); TCAP(0.839469); ACTA2(0.502356); MYBPC1(0.445066); MYLK(0.201013); DMD(-0.178164); MYL9(-0.874211); MYL6(-1.05664); MYL6B(-1.09373); CALM3(-1.16173); DES(-1.26745); TNNC2(-1.3148); TPM3(-1.33446); TNNT1(-1.34313); TNNI2(-1.36403); TNNI3(-1.39172); MYL2(-1.39663); MYBPC2(-1.3987); MYL1(-1.40054); VIM(-1.40217); MYL4(-1.40492); CALM1(-1.40711); MYH8(-1.40806); TPM4(-1.40893); CALM2(-1.41056); LMOD1(-1.42616); MYH6(-1.45684); MYL12B(-1.46056); VCL(-1.50275); ACTG2(-1.51207); TPM1(-1.58177); TMOD1(-1.63224); ACTN2(-1.76498); MYH11(-1.80414); ITGB5(-1.89878); CALD1(-2.08768); SORBS1(-2.18585); 
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	46	45	0.730348	1.27576	0.101019	0.464839	APOE(3.56277); FABP4(2.43508); PRKACG(1.68229); PRKACB(1.64951); SCARB1(1.10895); MTTP(0.919658); LPL(0.788193); ABCG5(0.692874); ABCG8(0.662689); LIPC(0.446273); CUBN(0.2711); ABCA1(0.260449); P4HB(-0.178164); LIPE(-1.05664); APOC3(-1.13887); PRKACA(-1.13887); SAR1B(-1.17098); PPP1CA(-1.17098); LCAT(-1.18207); APOA1(-1.19667); APOC2(-1.22623); PNLIP(-1.24043); LDLRAP1(-1.26745); AMN(-1.34313); BMP1(-1.35098); PPP1CC(-1.35796); CLPS(-1.35796); PLIN1(-1.36403); APOA5(-1.37819); ALB(-1.39663); PLTP(-1.39663); APOA2(-1.3987); ABHD5(-1.40492); PPP1CB(-1.40608); LDLR(-1.41493); SDC1(-1.41865); APOB(-1.44634); CETP(-1.47232); LPA(-1.50275); A2M(-1.50738); CAV1(-1.54623); PNLIPRP2(-1.55126); HSPG2(-1.67001); ABCG1(-1.73973); MGLL(-1.80061); 
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	51	48	0.23456	1.26361	0.103185	0.467897	CDKN2A(3.29108); AKT2(1.19447); SLC2A4(1.18848); IGFBP1(1.13116); FLOT1(1.06885); RPS6KA2(1.00827); PIK3CA(1.00295); PIK3CD(0.922132); FOXO1(0.861968); RPS6KA1(0.726121); AKT3(0.697771); CYTH3(0.634586); PARD3(0.534451); GSK3B(0.303311); PDPK1(-0.178164); GSK3A(-0.874211); PARD6A(-0.949317); MAPK3(-1.09373); SFN(-1.12031); BRD4(-1.19667); SHC1(-1.21163); FLOT2(-1.21163); AKT1(-1.22623); INPPL1(-1.22623); RPS6KB1(-1.38883); YWHAB(-1.38883); YWHAZ(-1.39431); YWHAG(-1.40492); PTEN(-1.40608); YWHAH(-1.40711); CBL(-1.40893); CDC42(-1.41393); YWHAQ(-1.42197); SERPINB6(-1.44307); IRS2(-1.44972); IRS1(-1.45323); PTPN1(-1.47232); GRB2(-1.48062); CAP1(-1.48489); YWHAE(-1.48925); RAF1(-1.51681); LNPEP(-1.57156); MAPK1(-1.57666); F2RL2(-1.61733); PIK3R1(-1.6468); SOS2(-1.66549); SOS1(-1.69146); SORBS1(-2.18585); 
REACTOME_CA_DEPENDENT_EVENTS	30	28	1.9271	1.26169	0.10353	0.467897	ADCY5(3.01851); ADCY7(2.16637); PRKACG(1.68229); PRKACB(1.64951); ADCY2(1.28154); PRKAR1A(1.15443); ADCY8(0.576863); ADCY1(0.469184); PLA2G4A(0.394557); ADRBK1(-1.13887); PRKACA(-1.13887); CALM3(-1.16173); PRKCG(-1.26745); PRKAR2A(-1.33446); ADCY6(-1.3739); PRKCD(-1.39431); CALM1(-1.40711); CREB1(-1.41056); PDE1B(-1.41056); CALM2(-1.41056); ADCY4(-1.434); MAPK1(-1.57666); PRKAR2B(-1.64199); ADCY3(-1.75418); ADCY9(-1.95957); CAMK4(-2.15074); PDE1A(-2.1995); PRKCA(-2.2394); 
PID_MET_PATHWAY	80	78	1.36776	1.24565	0.106447	0.479205	BCAR1(3.28671); PLCG1(3.15853); RAB5A(2.20138); MTOR(1.54258); INPP5D(1.46409); PTK2(1.44937); PTPRJ(1.35733); NUMB(1.31235); RANBP10(1.29185); GAB1(1.22831); AKT2(1.19447); EPS15(1.1415); PIK3CA(1.00295); MET(0.915634); MAP3K1(0.915015); PXN(0.702735); MAP2K4(0.641192); RIN2(0.31061); SH3GL2(0.298692); RAPGEF1(0.289397); RPTOR(0.0738278); PDPK1(-0.178164); PARD6A(-0.949317); MAPK3(-1.09373); HRAS(-1.13887); ARF6(-1.16173); BAD(-1.18207); MUC20(-1.19667); SHC1(-1.21163); AKT1(-1.22623); INPPL1(-1.22623); MLST8(-1.22623); EGR1(-1.24043); JUN(-1.24043); RAP1B(-1.25419); HGS(-1.26745); KPNB1(-1.30391); SNAI1(-1.33446); AKT1S1(-1.35796); CRK(-1.36921); RHOA(-1.38209); CRKL(-1.38563); PTPN11(-1.3987); MAP2K2(-1.3987); PRKCI(-1.40608); CBL(-1.40893); CTNNB1(-1.41135); SRC(-1.41301); PAK4(-1.41393); CDC42(-1.41393); RAC1(-1.41393); EIF4E(-1.42197); RANBP9(-1.42197); PRKCZ(-1.44307); PAK2(-1.44972); NCK1(-1.45684); PTPN1(-1.47232); GRB2(-1.48062); RAF1(-1.51681); PTPN2(-1.52161); WASL(-1.54623); MAP2K1(-1.55126); MAPK1(-1.57666); HGF(-1.60217); MAPK8(-1.60217); ARHGEF4(-1.60724); F2RL2(-1.61733); CDH1(-1.6468); PIK3R1(-1.6468); RAP1A(-1.65627); SOS1(-1.69146); PAK1(-1.6955); APC(-1.73611); CTNNA1(-1.75058); ETS1(-1.81467); GAB2(-1.81816); DEPTOR(-2.04944); NCK2(-2.07213); 
KEGG_FOCAL_ADHESION	201	192	3.63874	1.24224	0.107074	0.480293	BCAR1(3.28671); RASGRF1(2.53082); TNXB(2.49338); CCND2(2.40194); ITGA5(2.31241); LAMA1(2.01263); ITGB6(1.8841); COL6A1(1.81563); BRAF(1.61395); IBSP(1.59629); PARVB(1.58005); VAV2(1.49433); COL2A1(1.47649); PTK2(1.44937); MYL7(1.2873); ITGA7(1.28606); ACTN1(1.28566); AKT2(1.19447); PRKCB(1.18517); LAMB3(1.17827); TLN1(1.13116); THBS3(1.12382); VAV3(1.11182); COL6A6(1.08701); CCND1(1.05514); PIK3R3(1.03799); PIK3CA(1.00295); RAC2(0.997362); ITGA2(0.974537); PIP5K1C(0.924275); PIK3CD(0.922132); MET(0.915634); LAMC3(0.901902); ITGA1(0.898362); ITGAV(0.791252); PXN(0.702735); AKT3(0.697771); LAMC1(0.692794); LAMB1(0.688733); COL4A1(0.657043); IGF1R(0.612643); PDGFC(0.602373); COL11A2(0.587622); ITGA4(0.575805); COL4A2(0.563499); FLNB(0.454975); GSK3B(0.303311); RAPGEF1(0.289397); PARVA(0.283298); MYLK(0.201013); BCL2(0.167984); PDGFD(0.145155); FLT1(0.127908); ITGA9(0.103341); MAPK10(0.0635777); RELN(-0.0463577); PDPK1(-0.178164); MYL9(-0.874211); MYL5(-0.949317); RAC3(-1.09373); MAPK3(-1.09373); COMP(-1.09373); LAMB2(-1.12031); MYLPF(-1.12031); HRAS(-1.13887); ITGA2B(-1.16173); PPP1CA(-1.17098); ACTG1(-1.18207); BAD(-1.18207); VTN(-1.19667); SHC1(-1.21163); AKT1(-1.22623); BIRC3(-1.22623); PIK3R2(-1.22623); JUN(-1.24043); MYLK3(-1.24043); RAP1B(-1.25419); ITGA10(-1.26745); VEGFB(-1.26745); PRKCG(-1.26745); ACTB(-1.26745); ZYX(-1.28019); ILK(-1.29236); PGF(-1.325); ITGB7(-1.325); CHAD(-1.325); ITGB4(-1.33446); VASP(-1.34313); PPP1CC(-1.35796); ACTN3(-1.35796); FLNC(-1.36921); CRK(-1.36921); ERBB2(-1.37819); BIRC2(-1.38209); RHOA(-1.38209); CRKL(-1.38563); ARHGAP5(-1.38883); THBS1(-1.39431); ROCK1(-1.39431); MYL2(-1.39663); MYLK2(-1.39663); SHC2(-1.39663); COL1A1(-1.40054); ARHGAP35(-1.40363); VEGFA(-1.40363); PTEN(-1.40608); PPP1CB(-1.40608); PDGFB(-1.40976); MYL10(-1.41056); SPP1(-1.41056); LAMA5(-1.41135); CTNNB1(-1.41135); DIAPH1(-1.41216); PIK3CB(-1.41301); SRC(-1.41301); PAK4(-1.41393); CDC42(-1.41393); RAC1(-1.41393); FLT4(-1.41603); COL5A3(-1.41865); MYL12A(-1.42021); CAV2(-1.42197); PDGFRA(-1.42197); PAK6(-1.42197); ITGA3(-1.42395); COL6A2(-1.43125); THBS2(-1.44307); KDR(-1.44307); PAK2(-1.44972); PIK3CG(-1.45684); MYL12B(-1.46056); CAV3(-1.4683); GRB2(-1.48062); ACTN4(-1.48062); VCL(-1.50275); VAV1(-1.50275); COL3A1(-1.51207); MAPK9(-1.51681); RAF1(-1.51681); IGF1(-1.53135); PIK3R5(-1.53627); CAV1(-1.54623); MAP2K1(-1.55126); THBS4(-1.55631); CCND3(-1.55631); ITGB1(-1.56646); CAPN2(-1.57666); PDGFRB(-1.57666); MAPK1(-1.57666); HGF(-1.60217); MAPK8(-1.60217); ITGB3(-1.6123); EGF(-1.63224); TNN(-1.63714); PIK3R1(-1.6468); PPP1R12A(-1.65156); RAP1A(-1.65627); SOS2(-1.66549); COL1A2(-1.68313); SOS1(-1.69146); PAK1(-1.6955); ROCK2(-1.71069); LAMC2(-1.72159); LAMB4(-1.73248); PARVG(-1.74696); ACTN2(-1.76498); VEGFC(-1.76857); FN1(-1.77931); COL5A2(-1.79708); COL6A3(-1.82165); SHC3(-1.87269); ITGB5(-1.89878); ITGB8(-1.91462); SHC4(-1.927); COL4A4(-1.95091); TLN2(-1.96524); ITGA6(-1.99749); TNC(-2.00003); VWF(-2.00254); LAMA4(-2.00504); COL5A1(-2.02179); LAMA3(-2.04944); ITGA11(-2.05879); EGFR(-2.10053); ITGA8(-2.11998); FYN(-2.14604); COL11A1(-2.17996); TNR(-2.20354); PAK7(-2.22186); PRKCA(-2.2394); LAMA2(-2.27129); DOCK1(-2.27896); 
BIOCARTA_TH1TH2_PATHWAY	19	18	1.77867	1.24146	0.107218	0.480293	HLA-DRA(2.54506); HLA-DRB1(2.50815); IL2(1.66625); IL18(1.52028); IFNGR1(0.964358); IL12RB1(-1.39431); IL4(-1.40806); IFNGR2(-1.41216); CD28(-1.41393); IFNG(-1.42863); IL12RB2(-1.43125); IL12B(-1.434); CD40(-1.434); CD86(-1.44972); IL12A(-1.48925); IL4R(-1.49368); IL2RA(-1.60217); IL18R1(-1.68313); 
BIOCARTA_NOS1_PATHWAY	24	20	1.25224	1.23332	0.108728	0.48423	PRKACG(1.68229); PRKACB(1.64951); PRKCB(1.18517); PRKAR1A(1.15443); GRIN2A(0.990344); DLG4(0.981376); PPP3CA(0.741545); GRIN1(-1.00775); CALM3(-1.16173); PPP3CB(-1.19667); PRKAR2A(-1.33446); GRIN2C(-1.34313); GRIN2D(-1.36403); CALM1(-1.40711); CALM2(-1.41056); PPP3CC(-1.49368); PRKAR2B(-1.64199); NOS1(-1.88258); GRIN2B(-2.23628); PRKCA(-2.2394); 
BIOCARTA_TCR_PATHWAY	49	43	1.36353	1.23308	0.108772	0.48423	PLCG1(3.15853); NFKB1(1.89483); CD3D(1.3097); FOS(1.29267); CD3G(1.25108); PRKCB(1.18517); PIK3CA(1.00295); RELA(0.980934); MAP3K1(0.915015); PPP3CA(0.741545); NFATC1(0.665586); MAP2K4(0.641192); NFATC2(0.176713); MAPK3(-1.09373); HRAS(-1.13887); CALM3(-1.16173); PPP3CB(-1.19667); SHC1(-1.21163); LCK(-1.21163); LAT(-1.22623); JUN(-1.24043); NFKBIA(-1.33446); NFATC4(-1.38563); CD3E(-1.3987); ZAP70(-1.40363); CALM1(-1.40711); NFATC3(-1.40711); CALM2(-1.41056); RAC1(-1.41393); PTPN7(-1.41493); RASA1(-1.41493); PIK3CG(-1.45684); GRB2(-1.48062); PPP3CC(-1.49368); VAV1(-1.50275); RAF1(-1.51681); MAP2K1(-1.55126); MAPK8(-1.60217); PIK3R1(-1.6468); SOS1(-1.69146); CD247(-1.90833); FYN(-2.14604); PRKCA(-2.2394); 
BIOCARTA_TALL1_PATHWAY	15	15	0.981305	1.224	0.110476	0.48423	CHUK(3.17987); NFKB1(1.89483); TRAF5(1.70891); RELA(0.980934); TNFRSF13C(-1.18207); TNFSF13(-1.29236); TRAF2(-1.38209); TRAF6(-1.40054); TNFRSF17(-1.40608); MAP3K14(-1.40711); TNFSF13B(-1.40893); TNFRSF13B(-1.47642); TRAF3(-1.52161); MAPK14(-1.52646); MAPK8(-1.60217); 
PID_IL27_PATHWAY	26	25	0.254528	1.22908	0.109521	0.48423	TNF(2.73922); STAT5A(1.71981); IL2(1.66625); STAT3(1.59508); IL18(1.52028); TYK2(0.711712); IL6(0.619197); IL27RA(-1.09373); STAT2(-1.18207); EBI3(-1.19667); TGFB1(-1.22623); TBX21(-1.34313); IL1B(-1.38563); IL12RB1(-1.39431); IL6ST(-1.40806); IL17A(-1.41135); GATA3(-1.42616); IFNG(-1.42863); IL12RB2(-1.43125); IL12B(-1.434); STAT1(-1.47232); IL12A(-1.48925); JAK2(-1.66091); STAT4(-1.72886); JAK1(-1.84577); 
PID_HDAC_CLASSI_PATHWAY	66	61	0.782611	1.22853	0.109625	0.48423	PPARG(2.87305); TNF(2.73922); NFKB1(1.89483); STAT3(1.59508); SSPO(1.57921); SMURF1(1.5246); HDAC9(1.25728); GATAD2A(1.1759); RELA(0.980934); SMAD7(0.923316); WDR77(0.904403); MBD2(0.8758); CHD3(0.817667); KAT2B(0.673057); NCOR2(0.234012); HDAC1(-0.874211); MBD3L2(-0.874211); MBD3(-1.12031); MTA2(-1.13887); PRKACA(-1.13887); RAN(-1.22623); FKBP3(-1.22623); SIRT6(-1.24043); HDAC10(-1.25419); CHD4(-1.26745); SIN3A(-1.29236); TNFRSF1A(-1.3148); SAP30(-1.33446); YY1(-1.33446); SIRT2(-1.33446); NFKBIA(-1.33446); SUMO1(-1.35098); HDAC5(-1.36403); PRMT5(-1.36403); XPO1(-1.36921); SIRT4(-1.37819); RANBP2(-1.37819); SIRT1(-1.37819); RBBP4(-1.38883); SIN3B(-1.38883); HDAC3(-1.39172); GATA2(-1.39663); CREBBP(-1.3987); UBE2I(-1.3987); SMG5(-1.40363); ZFPM1(-1.40363); RANGAP1(-1.40806); MXD1(-1.40893); EP300(-1.41056); SAP18(-1.41135); SIRT5(-1.41216); HDAC11(-1.41301); HDAC7(-1.41393); HDAC2(-1.41727); NR2C1(-1.41727); GATAD2B(-1.49368); MAX(-1.50738); TFCP2(-1.51681); NCOR1(-1.52161); SIRT3(-1.55126); HDAC4(-2.15516); 
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	72	68	1.19863	1.23155	0.109059	0.48423	PPARG(2.87305); TNF(2.73922); FABP4(2.43508); ADIPOQ(2.29959); MED27(1.47477); EGR2(1.2416); WNT1(1.23623); SLC2A4(1.18848); MED13L(1.01838); RELA(0.980934); SREBF1(0.975347); MED30(0.948092); MED10(0.91663); LPL(0.788193); NCOA6(0.746226); PCK1(0.566007); NCOR2(0.234012); EBF1(-0.0534411); CEBPD(-0.949317); CDK4(-1.13887); CEBPB(-1.13887); ANGPTL4(-1.15185); WNT10B(-1.16173); MED18(-1.16173); NR2F2(-1.19667); MED19(-1.21163); MED8(-1.22623); TGFB1(-1.22623); KLF4(-1.26745); MED20(-1.26745); MED29(-1.26745); MED1(-1.26745); MED11(-1.28019); MED16(-1.28019); MED22(-1.3148); MED17(-1.35098); MED9(-1.35098); PLIN1(-1.36403); MED25(-1.36403); HDAC3(-1.39172); MED24(-1.39172); MED26(-1.39431); CREBBP(-1.3987); MED7(-1.40608); KLF5(-1.40608); MED21(-1.40806); MED23(-1.40893); SMARCD3(-1.41056); EP300(-1.41056); CCNC(-1.41135); MED4(-1.41216); LEP(-1.41493); MED31(-1.42395); MED6(-1.43992); TGS1(-1.47642); RXRA(-1.50275); PPARA(-1.52161); NCOR1(-1.52161); CCND3(-1.55631); MED15(-1.60724); TBL1XR1(-1.64199); NCOA3(-1.67883); CDK19(-1.71432); PPARGC1A(-1.72159); CD36(-1.75779); NCOA1(-1.79354); CDK8(-1.97906); NCOA2(-2.00254); 
BIOCARTA_NTHI_PATHWAY	24	24	1.2075	1.21991	0.11125	0.485067	CHUK(3.17987); TNF(2.73922); NFKB1(1.89483); RELA(0.980934); MAP2K6(0.344964); MAP3K7(0.341001); TGFBR2(0.309813); MAPK11(-1.15185); MYD88(-1.18207); NFKBIA(-1.33446); SMAD4(-1.38209); IL1B(-1.38563); DUSP1(-1.39431); MAP2K3(-1.39431); CREBBP(-1.3987); IL8(-1.40054); TLR2(-1.40608); MAP3K14(-1.40711); IKBKB(-1.40893); EP300(-1.41056); TGFBR1(-1.45323); NR3C1(-1.49818); MAPK14(-1.52646); SMAD3(-1.95957); 
PID_IL12_STAT4_PATHWAY	33	33	1.89417	1.2168	0.111839	0.485937	HLA-DRA(2.54506); HLA-DRB1(2.50815); IL2(1.66625); STAT3(1.59508); IL18(1.52028); CD3D(1.3097); FOS(1.29267); CD3G(1.25108); PPP3CA(0.741545); PPP3CB(-1.19667); TGFB1(-1.22623); JUN(-1.24043); TBX21(-1.34313); IL13(-1.3739); ETV5(-1.39431); CD3E(-1.3987); PRF1(-1.3987); CREBBP(-1.3987); CD28(-1.41393); IRF1(-1.42616); IFNG(-1.42863); PPP3R1(-1.434); CD4(-1.44634); CD86(-1.44972); PIAS2(-1.49368); MAPK9(-1.51681); CD80(-1.56137); MAPK8(-1.60217); IL2RA(-1.60217); IL18R1(-1.68313); STAT4(-1.72886); IL18RAP(-1.77216); CD247(-1.90833); 
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	17	16	0.547348	1.21627	0.11194	0.485937	BCL2L11(1.9455); TP53(1.84575); TFDP1(1.02287); BID(0.775823); BCL2(0.167984); BBC3(-1.00775); E2F1(-1.12031); BAD(-1.18207); DYNLL2(-1.21163); AKT1(-1.22623); DYNLL1(-1.37819); BMF(-1.38563); YWHAB(-1.38883); PMAIP1(-1.39431); PPP3R1(-1.434); MAPK8(-1.60217); 
BIOCARTA_COMP_PATHWAY	19	19	1.72935	1.20944	0.113247	0.488647	CFB(2.6194); C2(2.52344); C4B(1.05108); C4A(1.05108); C3(1.0188); C5(0.685908); CFD(-1.21163); C1S(-1.325); MASP2(-1.33446); C1R(-1.37819); C1QA(-1.40492); C1QC(-1.41135); C1QB(-1.41393); C8A(-1.53135); C9(-1.54623); MBL2(-1.59708); C7(-1.74696); MASP1(-1.84236); C6(-1.9391); 
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	32	0.642511	1.19507	0.11603	0.492119	MTMR7(1.92803); GMDS(1.66372); FBP1(1.47799); FBP2(1.34128); ALDOB(1.19159); PFKL(1.01659); GMPPA(0.734004); MTMR2(0.677717); PFKP(0.51579); TPI1(-0.949317); ALDOC(-1.00775); PHPT1(-1.09373); MPI(-1.13887); FUK(-1.16173); ALDOA(-1.16173); KHK(-1.16173); TSTA3(-1.21163); GMPPB(-1.22623); PMM1(-1.25419); PFKFB4(-1.325); SORD(-1.33446); HK3(-1.3987); PFKFB2(-1.40492); FPGT(-1.41056); MTMR6(-1.41056); AKR1B1(-1.42021); AKR1B10(-1.42616); PFKM(-1.4683); PMM2(-1.6273); HK2(-1.68313); PFKFB3(-1.77573); HK1(-1.88585); 
KEGG_GALACTOSE_METABOLISM	26	25	1.18939	1.18045	0.118911	0.492119	MGAM(1.76144); GAA(1.63282); GCK(1.41081); GLB1(1.3145); G6PC(1.04137); G6PC2(1.0286); PFKL(1.01659); PFKP(0.51579); GALE(-1.13887); GALK1(-1.18207); GALT(-1.325); B4GALT2(-1.34313); HK3(-1.3987); UGP2(-1.40054); LALBA(-1.40363); AKR1B1(-1.42021); LCT(-1.42616); PFKM(-1.4683); PGM2(-1.48489); PGM1(-1.50738); GANC(-1.51207); B4GALT1(-1.59708); HK2(-1.68313); GALK2(-1.79708); HK1(-1.88585); 
BIOCARTA_ARAP_PATHWAY	18	17	0.667983	1.1999	0.115089	0.492119	CYTH1(1.80706); GBF1(1.19363); KDELR2(0.940571); COPA(0.779027); GPLD1(0.664383); CYTH3(0.634586); CYTH2(-1.15185); ARFGAP1(-1.16173); ARF1(-1.21163); KDELR1(-1.22623); CLTB(-1.24043); KDELR3(-1.26745); ARFGEF1(-1.40054); CYTH4(-1.48489); ARFGAP3(-1.56646); ARFGEF2(-1.71432); ASAP2(-1.94504); 
BIOCARTA_RANKL_PATHWAY	14	14	0.730812	1.18474	0.11806	0.492119	NFKB1(1.89483); FOS(1.29267); RELA(0.980934); IFNAR1(0.956537); TNFRSF11A(0.404026); FOSL1(-1.25419); IRF9(-1.325); TRAF6(-1.40054); FOSL2(-1.41301); EIF2AK2(-1.41393); IFNB1(-1.41393); IFNAR2(-1.42863); TNFSF11(-1.58688); MAPK8(-1.60217); 
